site,source_id,league,date,kickoff,home_team,away_team,market,pick,p1,p2,p3,note,scraped_at
sportsgambler,newcastle-vs-bournemouth,Premier League,2026-09-05,14:30 - Sat 05 Sep,Newcastle,Bournemouth,correct_score,1 - 2,,,,Bournemouth Asian Hcp +0.25 @ 1.93,2026-09-05T08:07:03Z
sportsgambler,newcastle-vs-bournemouth,Premier League,2026-09-05,14:30 - Sat 05 Sep,Newcastle,Bournemouth,1x2,2,,,,Bournemouth Asian Hcp +0.25 @ 1.93,2026-09-05T08:07:03Z
sportsgambler,newcastle-vs-bournemouth,Premier League,2026-09-05,14:30 - Sat 05 Sep,Newcastle,Bournemouth,btts,Yes,,,,Bournemouth Asian Hcp +0.25 @ 1.93,2026-09-05T08:07:03Z
sportsgambler,newcastle-vs-bournemouth,Premier League,2026-09-05,14:30 - Sat 05 Sep,Newcastle,Bournemouth,over_under,Over,,,,Bournemouth Asian Hcp +0.25 @ 1.93,2026-09-05T08:07:03Z
sportsgambler,brentford-vs-sunderland,Premier League,2026-09-05,17:00 - Sat 05 Sep,Brentford,Sunderland,correct_score,1 - 1,,,,Both Teams To Score - Yes @ 1.79,2026-09-05T08:07:03Z
sportsgambler,brentford-vs-sunderland,Premier League,2026-09-05,17:00 - Sat 05 Sep,Brentford,Sunderland,1x2,X,,,,Both Teams To Score - Yes @ 1.79,2026-09-05T08:07:03Z
sportsgambler,brentford-vs-sunderland,Premier League,2026-09-05,17:00 - Sat 05 Sep,Brentford,Sunderland,btts,Yes,,,,Both Teams To Score - Yes @ 1.79,2026-09-05T08:07:03Z
sportsgambler,brentford-vs-sunderland,Premier League,2026-09-05,17:00 - Sat 05 Sep,Brentford,Sunderland,over_under,Under,,,,Both Teams To Score - Yes @ 1.79,2026-09-05T08:07:03Z
sportsgambler,brighton-vs-leeds,Premier League,2026-09-05,17:00 - Sat 05 Sep,Brighton,Leeds,correct_score,1 - 0,,,,Brighton To Win @ 1.92,2026-09-05T08:07:03Z
sportsgambler,brighton-vs-leeds,Premier League,2026-09-05,17:00 - Sat 05 Sep,Brighton,Leeds,1x2,1,,,,Brighton To Win @ 1.92,2026-09-05T08:07:03Z
sportsgambler,brighton-vs-leeds,Premier League,2026-09-05,17:00 - Sat 05 Sep,Brighton,Leeds,btts,No,,,,Brighton To Win @ 1.92,2026-09-05T08:07:03Z
sportsgambler,brighton-vs-leeds,Premier League,2026-09-05,17:00 - Sat 05 Sep,Brighton,Leeds,over_under,Under,,,,Brighton To Win @ 1.92,2026-09-05T08:07:03Z
sportsgambler,fulham-vs-crystal-palace,Premier League,2026-09-05,17:00 - Sat 05 Sep,Fulham,Crystal Palace,correct_score,2 - 1,,,,Fulham Asian Hcp 0.0 @ 1.62,2026-09-05T08:07:03Z
sportsgambler,fulham-vs-crystal-palace,Premier League,2026-09-05,17:00 - Sat 05 Sep,Fulham,Crystal Palace,1x2,1,,,,Fulham Asian Hcp 0.0 @ 1.62,2026-09-05T08:07:03Z
sportsgambler,fulham-vs-crystal-palace,Premier League,2026-09-05,17:00 - Sat 05 Sep,Fulham,Crystal Palace,btts,Yes,,,,Fulham Asian Hcp 0.0 @ 1.62,2026-09-05T08:07:03Z
sportsgambler,fulham-vs-crystal-palace,Premier League,2026-09-05,17:00 - Sat 05 Sep,Fulham,Crystal Palace,over_under,Over,,,,Fulham Asian Hcp 0.0 @ 1.62,2026-09-05T08:07:03Z
sportsgambler,manchester-city-vs-coventry,Premier League,2026-09-05,17:00 - Sat 05 Sep,Manchester City,Coventry,correct_score,1 - 0,,,,Coventry Asian Hcp +2.25 @ 1.90,2026-09-05T08:07:03Z
sportsgambler,manchester-city-vs-coventry,Premier League,2026-09-05,17:00 - Sat 05 Sep,Manchester City,Coventry,1x2,1,,,,Coventry Asian Hcp +2.25 @ 1.90,2026-09-05T08:07:03Z
sportsgambler,manchester-city-vs-coventry,Premier League,2026-09-05,17:00 - Sat 05 Sep,Manchester City,Coventry,btts,No,,,,Coventry Asian Hcp +2.25 @ 1.90,2026-09-05T08:07:03Z
sportsgambler,manchester-city-vs-coventry,Premier League,2026-09-05,17:00 - Sat 05 Sep,Manchester City,Coventry,over_under,Under,,,,Coventry Asian Hcp +2.25 @ 1.90,2026-09-05T08:07:03Z
sportsgambler,nottingham-forest-vs-tottenham,Premier League,2026-09-05,17:00 - Sat 05 Sep,Nottingham Forest,Tottenham,correct_score,1 - 1,,,,Under 2.5 Goals @ 1.80,2026-09-05T08:07:03Z
sportsgambler,nottingham-forest-vs-tottenham,Premier League,2026-09-05,17:00 - Sat 05 Sep,Nottingham Forest,Tottenham,1x2,X,,,,Under 2.5 Goals @ 1.80,2026-09-05T08:07:03Z
sportsgambler,nottingham-forest-vs-tottenham,Premier League,2026-09-05,17:00 - Sat 05 Sep,Nottingham Forest,Tottenham,btts,Yes,,,,Under 2.5 Goals @ 1.80,2026-09-05T08:07:03Z
sportsgambler,nottingham-forest-vs-tottenham,Premier League,2026-09-05,17:00 - Sat 05 Sep,Nottingham Forest,Tottenham,over_under,Under,,,,Under 2.5 Goals @ 1.80,2026-09-05T08:07:03Z
sportsgambler,hull-vs-aston-villa,Premier League,2026-09-05,19:30 - Sat 05 Sep,Hull,Aston Villa,correct_score,1 - 1,,,,Hull Asian Hcp +0.5 @ 1.93,2026-09-05T08:07:03Z
sportsgambler,hull-vs-aston-villa,Premier League,2026-09-05,19:30 - Sat 05 Sep,Hull,Aston Villa,1x2,X,,,,Hull Asian Hcp +0.5 @ 1.93,2026-09-05T08:07:03Z
sportsgambler,hull-vs-aston-villa,Premier League,2026-09-05,19:30 - Sat 05 Sep,Hull,Aston Villa,btts,Yes,,,,Hull Asian Hcp +0.5 @ 1.93,2026-09-05T08:07:03Z
sportsgambler,hull-vs-aston-villa,Premier League,2026-09-05,19:30 - Sat 05 Sep,Hull,Aston Villa,over_under,Under,,,,Hull Asian Hcp +0.5 @ 1.93,2026-09-05T08:07:03Z
sportsgambler,everton-vs-manchester-united,Premier League,2026-09-06,16:00 - Sun 06 Sep,Everton,Manchester United,correct_score,2 - 1,,,,Everton Asian Hcp +0.25 @ 1.98,2026-09-05T08:07:03Z
sportsgambler,everton-vs-manchester-united,Premier League,2026-09-06,16:00 - Sun 06 Sep,Everton,Manchester United,1x2,1,,,,Everton Asian Hcp +0.25 @ 1.98,2026-09-05T08:07:03Z
sportsgambler,everton-vs-manchester-united,Premier League,2026-09-06,16:00 - Sun 06 Sep,Everton,Manchester United,btts,Yes,,,,Everton Asian Hcp +0.25 @ 1.98,2026-09-05T08:07:03Z
sportsgambler,everton-vs-manchester-united,Premier League,2026-09-06,16:00 - Sun 06 Sep,Everton,Manchester United,over_under,Over,,,,Everton Asian Hcp +0.25 @ 1.98,2026-09-05T08:07:03Z
sportsgambler,arsenal-vs-chelsea,Premier League,2026-09-06,18:30 - Sun 06 Sep,Arsenal,Chelsea,correct_score,2 - 0,,,,Arsenal To Win @ 1.70,2026-09-05T08:07:03Z
sportsgambler,arsenal-vs-chelsea,Premier League,2026-09-06,18:30 - Sun 06 Sep,Arsenal,Chelsea,1x2,1,,,,Arsenal To Win @ 1.70,2026-09-05T08:07:03Z
