site,source_id,league,date,kickoff,home_team,away_team,market,pick,p1,p2,p3,note,scraped_at
sportytrader,fulham-chelsea-367624,Premier League,2026-08-24,22:00,Fulham,Chelsea,btts,Yes,,,,BTTS @ 1.62,2026-08-24T06:47:35Z
sportytrader,bologna-lazio-367652,Serie A,2026-08-24,19:30,Bologna,Lazio,over_under,Under,,,,Under 2.5 goals @ 1.65,2026-08-24T06:47:35Z
sportytrader,osasuna-levante-367666,LaLiga,2026-08-24,20:30,Osasuna,Levante,over_under,Over,,,,Over 2.5 goals @ 1.95,2026-08-24T06:47:35Z
sportytrader,roma-fiorentina-367680,Serie A,2026-08-24,21:45,Roma,Fiorentina,1x2,1,,,,Roma wins @ 1.67,2026-08-24T06:47:35Z
sportytrader,gil-vicente-casa-pia-atletico-367646,Liga Portugal,2026-08-24,22:15,Gil Vicente,Casa Pia Lisbon,1x2,1,,,,Gil Vicente wins @ 1.66,2026-08-24T06:47:35Z
sportytrader,malaga-la-coruna-367672,LaLiga,2026-08-24,22:30,Málaga,La Coruna,over_under,Over,,,,Malaga to win and over 2.5 goals @ 4.75,2026-08-24T06:47:35Z
