site,source_id,league,date,kickoff,home_team,away_team,market,pick,p1,p2,p3,note,scraped_at
sportsgambler,valencia-vs-real-betis,LaLiga,2026-08-25,22:00 - Tue 25 Aug,Valencia,Real Betis,correct_score,1 - 1,,,,Both Teams To Score - Yes @ 1.71,2026-08-25T09:47:02Z
sportsgambler,valencia-vs-real-betis,LaLiga,2026-08-25,22:00 - Tue 25 Aug,Valencia,Real Betis,1x2,X,,,,Both Teams To Score - Yes @ 1.71,2026-08-25T09:47:02Z
sportsgambler,valencia-vs-real-betis,LaLiga,2026-08-25,22:00 - Tue 25 Aug,Valencia,Real Betis,btts,Yes,,,,Both Teams To Score - Yes @ 1.71,2026-08-25T09:47:02Z
sportsgambler,valencia-vs-real-betis,LaLiga,2026-08-25,22:00 - Tue 25 Aug,Valencia,Real Betis,over_under,Under,,,,Both Teams To Score - Yes @ 1.71,2026-08-25T09:47:02Z
sportsgambler,real-madrid-vs-real-sociedad,LaLiga,2026-08-26,22:00 - Wed 26 Aug,Real Madrid,Real Sociedad,correct_score,2 - 1,,,,Sociedad Asian Hcp +1.5 @ 1.91,2026-08-25T09:47:02Z
sportsgambler,real-madrid-vs-real-sociedad,LaLiga,2026-08-26,22:00 - Wed 26 Aug,Real Madrid,Real Sociedad,1x2,1,,,,Sociedad Asian Hcp +1.5 @ 1.91,2026-08-25T09:47:02Z
sportsgambler,real-madrid-vs-real-sociedad,LaLiga,2026-08-26,22:00 - Wed 26 Aug,Real Madrid,Real Sociedad,btts,Yes,,,,Sociedad Asian Hcp +1.5 @ 1.91,2026-08-25T09:47:02Z
sportsgambler,real-madrid-vs-real-sociedad,LaLiga,2026-08-26,22:00 - Wed 26 Aug,Real Madrid,Real Sociedad,over_under,Over,,,,Sociedad Asian Hcp +1.5 @ 1.91,2026-08-25T09:47:02Z
