site,source_id,league,date,kickoff,home_team,away_team,market,pick,p1,p2,p3,note,scraped_at
sportytrader,chelsea-brighton-368976,Premier League,2026-08-30,16:00,Chelsea,Brighton,over_under,Over,,,,Over 2.5 goals @ 1.62,2026-08-30T04:30:45Z
sportytrader,manchester-united-ipswich-town-369036,Premier League,2026-08-30,18:30,Manchester United,Ipswich Town,1x2,1,,,,Manchester United wins @ 1.4,2026-08-30T04:30:45Z
sportytrader,napoli-como-calcio-369147,Serie A,2026-08-30,19:30,Napoli,Como 1907,over_under,Under,,,,Under 2.5 goals @ 1.8,2026-08-30T04:30:45Z
sportytrader,utrecht-psv-eindhoven-368919,Eredivisie,2026-08-30,13:15,Utrecht,PSV Eindhoven,1x2,2,,,,PSV Eindhoven wins @ 1.53,2026-08-30T04:30:45Z
sportytrader,feyenoord-ado-the-hague-368975,Eredivisie,2026-08-30,15:30,Feyenoord,ADO The Hague,1x2,1,,,,Feyenoord wins & over 2.5 goals @ 1.58,2026-08-30T04:30:45Z
sportytrader,feyenoord-ado-the-hague-368975,Eredivisie,2026-08-30,15:30,Feyenoord,ADO The Hague,over_under,Over,,,,Feyenoord wins & over 2.5 goals @ 1.58,2026-08-30T04:30:45Z
sportytrader,paris-fc-nice-368967,Ligue 1,2026-08-30,16:00,Paris FC,Nice,1x2,1,,,,Paris FC to win & under 2.5 goals @ 4.5,2026-08-30T04:30:45Z
sportytrader,paris-fc-nice-368967,Ligue 1,2026-08-30,16:00,Paris FC,Nice,over_under,Under,,,,Paris FC to win & under 2.5 goals @ 4.5,2026-08-30T04:30:45Z
sportytrader,freiburg-werder-bremen-369083,Bundesliga,2026-08-30,16:30,Freiburg,Werder Bremen,1x2,1,,,,Freiburg wins @ 1.91,2026-08-30T04:30:45Z
sportytrader,nacional-madeira-cf-estrela-369030,Liga Portugal,2026-08-30,17:30,Nacional Madeira,Estrela Amadora,over_under,Under,,,,Under 2.5 goals @ 1.85,2026-08-30T04:30:45Z
sportytrader,telstar-ajax-369011,Eredivisie,2026-08-30,17:45,Telstar,Ajax,1x2,2,,,,Ajax wins @ 1.5,2026-08-30T04:30:45Z
sportytrader,real-madrid-malaga-369069,LaLiga,2026-08-30,18:00,Real Madrid,Málaga,1x2,1,,,,Real Madrid to win and over 2.5 goals @ 1.9,2026-08-30T04:30:45Z
sportytrader,real-madrid-malaga-369069,LaLiga,2026-08-30,18:00,Real Madrid,Málaga,over_under,Over,,,,Real Madrid to win and over 2.5 goals @ 1.9,2026-08-30T04:30:45Z
sportytrader,rennes-le-mans-uc-72-369138,Ligue 1,2026-08-30,18:15,Rennes,Le Mans FC,btts,Yes,,,,BTTS @ 1.75,2026-08-30T04:30:45Z
sportytrader,augsburg-schalke-04-369019,Bundesliga,2026-08-30,18:30,Augsburg,Schalke 04,1x2,1,,,,Augsburg wins @ 2.2,2026-08-30T04:30:45Z
sportytrader,casa-pia-atletico-moreirense-369075,Liga Portugal,2026-08-30,20:00,Casa Pia Lisbon,Moreirense,over_under,Under,,,,Under 2.5 goals @ 2,2026-08-30T04:30:45Z
sportytrader,la-coruna-valencia-369151,LaLiga,2026-08-30,20:30,La Coruna,Valencia,1x2,2,,,,Valencia wins @ 3,2026-08-30T04:30:45Z
sportytrader,monaco-marseille-369170,Ligue 1,2026-08-30,21:45,Monaco,Marseille,1x2,1,,,,Monaco wins @ 2.4,2026-08-30T04:30:45Z
sportytrader,cagliari-inter-milan-369182,Serie A,2026-08-30,21:45,Cagliari,Inter Milan,1x2,2,,,,Inter Milan to win & over 2.5 goals @ 2.25,2026-08-30T04:30:45Z
sportytrader,cagliari-inter-milan-369182,Serie A,2026-08-30,21:45,Cagliari,Inter Milan,over_under,Over,,,,Inter Milan to win & over 2.5 goals @ 2.25,2026-08-30T04:30:45Z
sportytrader,famalicao-gil-vicente-369081,Liga Portugal,2026-08-30,22:30,Famalicao,Gil Vicente,btts,No,,,,BTTS: No @ 1.8,2026-08-30T04:30:45Z
sportytrader,celta-vigo-athletic-bilbao-369195,LaLiga,2026-08-30,22:30,Celta Vigo,Athletic Bilbao,1x2,1,,,,Celta Vigo to win & BTTS @ 5,2026-08-30T04:30:45Z
sportytrader,celta-vigo-athletic-bilbao-369195,LaLiga,2026-08-30,22:30,Celta Vigo,Athletic Bilbao,btts,Yes,,,,Celta Vigo to win & BTTS @ 5,2026-08-30T04:30:45Z
