site,source_id,league,date,kickoff,home_team,away_team,market,pick,p1,p2,p3,note,scraped_at
sportytrader,bayern-munich-union-berlin-373330,Bundesliga,2026-09-18,21:30,Bayern Munich,Union Berlin,btts,Yes,,,,BTTS @ 1.91,2026-09-18T14:30:00Z
sportytrader,monaco-lens-373426,Ligue 1,2026-09-18,21:45,Monaco,Lens,1x2,1,,,,Monaco to win and BTTS @ 3.4,2026-09-18T14:30:00Z
sportytrader,monaco-lens-373426,Ligue 1,2026-09-18,21:45,Monaco,Lens,btts,Yes,,,,Monaco to win and BTTS @ 3.4,2026-09-18T14:30:00Z
sportytrader,monza-sassuolo-373459,Serie A,2026-09-18,21:45,Monza,Sassuolo,1x2,2,,,,Sassuolo to win and BTTS @ 4.33,2026-09-18T14:30:00Z
sportytrader,monza-sassuolo-373459,Serie A,2026-09-18,21:45,Monza,Sassuolo,btts,Yes,,,,Sassuolo to win and BTTS @ 4.33,2026-09-18T14:30:00Z
sportytrader,espanyol-elche-373495,LaLiga,2026-09-18,22:00,Espanyol,Elche,1x2,1,,,,Espanyol wins @ 1.8,2026-09-18T14:30:00Z
