site,source_id,league,date,kickoff,home_team,away_team,market,pick,p1,p2,p3,note,scraped_at
eaglepredict,8548655,Ligue 1,2026-08-21,21:45,Olympique Marseille,Strasbourg,1x2,Olympique Marseille Win,,,,1.65,2026-08-21T03:25:48Z
eaglepredict,8548655,Ligue 1,2026-08-21,21:45,Olympique Marseille,Strasbourg,over_under,Over  2.5 Goals,,,,1.39,2026-08-21T03:25:48Z
eaglepredict,8570535,La Liga,2026-08-21,22:00,Betis,Real Sociedad,1x2,Betis Win,,,,1.95,2026-08-21T03:25:48Z
eaglepredict,8570535,La Liga,2026-08-21,22:00,Betis,Real Sociedad,over_under,Over  2.5 Goals,,,,1.81,2026-08-21T03:25:48Z
eaglepredict,8557839,Premier League,2026-08-21,22:00,Arsenal,Coventry City,1x2,Arsenal Win,,,,1.15,2026-08-21T03:25:48Z
eaglepredict,8557839,Premier League,2026-08-21,22:00,Arsenal,Coventry City,over_under,Over  2.5 Goals,,,,1.51,2026-08-21T03:25:48Z
eaglepredict,8557847,Premier League,2026-08-22,14:30,Hull City,Manchester United,1x2,Manchester United Win,,,,1.34,2026-08-21T03:25:48Z
eaglepredict,8557847,Premier League,2026-08-22,14:30,Hull City,Manchester United,over_under,Over  2.5 Goals,,,,1.60,2026-08-21T03:25:48Z
eaglepredict,8558032,Premier League,2026-08-22,19:30,Brentford,Tottenham,1x2,Brentford Win,,,,1.91,2026-08-21T03:25:48Z
eaglepredict,8558032,Premier League,2026-08-22,19:30,Brentford,Tottenham,over_under,Over  2.5 Goals,,,,1.57,2026-08-21T03:25:48Z
eaglepredict,8547630,Eredivisie,2026-08-22,17:30,Fortuna Sittard,AZ,1x2,AZ Win,,,,1.50,2026-08-21T03:25:48Z
eaglepredict,8547630,Eredivisie,2026-08-22,17:30,Fortuna Sittard,AZ,over_under,Over  2.5 Goals,,,,1.35,2026-08-21T03:25:48Z
eaglepredict,8547687,Eredivisie,2026-08-22,19:45,Sparta Rotterdam,Utrecht,1x2,Utrecht Win,,,,1.67,2026-08-21T03:25:48Z
eaglepredict,8547687,Eredivisie,2026-08-22,19:45,Sparta Rotterdam,Utrecht,over_under,Over  2.5 Goals,,,,1.64,2026-08-21T03:25:48Z
eaglepredict,8547628,Eredivisie,2026-08-22,22:00,Heerenveen,PEC Zwolle,1x2,Heerenveen Win,,,,1.30,2026-08-21T03:25:48Z
eaglepredict,8547628,Eredivisie,2026-08-22,22:00,Heerenveen,PEC Zwolle,over_under,Over  2.5 Goals,,,,1.32,2026-08-21T03:25:48Z
eaglepredict,8574400,Primeira Liga,2026-08-22,17:30,CS Marítimo,Academico Viseu,1x2,CS Marítimo Win,,,,1.88,2026-08-21T03:25:48Z
eaglepredict,8574400,Primeira Liga,2026-08-22,17:30,CS Marítimo,Academico Viseu,over_under,Over  2.5 Goals,,,,2.00,2026-08-21T03:25:48Z
eaglepredict,8574371,Primeira Liga,2026-08-22,20:00,GD Estoril Praia,Rio Ave FC,1x2,GD Estoril Praia Win,,,,1.50,2026-08-21T03:25:48Z
eaglepredict,8574371,Primeira Liga,2026-08-22,20:00,GD Estoril Praia,Rio Ave FC,over_under,Over  2.5 Goals,,,,1.72,2026-08-21T03:25:48Z
eaglepredict,8574396,Primeira Liga,2026-08-22,22:30,Sporting CP,Alverca,1x2,Sporting CP Win,,,,1.15,2026-08-21T03:25:48Z
eaglepredict,8574396,Primeira Liga,2026-08-22,22:30,Sporting CP,Alverca,over_under,Over  2.5 Goals,,,,1.32,2026-08-21T03:25:48Z
eaglepredict,8570554,La Liga,2026-08-22,18:00,Athletic Bilbao,Sevilla,1x2,Athletic Bilbao Win,,,,1.67,2026-08-21T03:25:48Z
eaglepredict,8570508,La Liga,2026-08-22,22:30,Espanyol,Real Madrid,1x2,Real Madrid Win,,,,1.38,2026-08-21T03:25:48Z
eaglepredict,8570508,La Liga,2026-08-22,22:30,Espanyol,Real Madrid,over_under,Over  2.5 Goals,,,,1.65,2026-08-21T03:25:48Z
eaglepredict,8548657,Ligue 1,2026-08-22,18:15,Lens,Auxerre,1x2,Lens Win,,,,1.52,2026-08-21T03:25:48Z
eaglepredict,8548657,Ligue 1,2026-08-22,18:15,Lens,Auxerre,over_under,Over  2.5 Goals,,,,1.57,2026-08-21T03:25:48Z
eaglepredict,8545091,Serie A,2026-08-22,19:30,Internazionale,Monza,1x2,Internazionale Win,,,,1.17,2026-08-21T03:25:48Z
eaglepredict,8545091,Serie A,2026-08-22,19:30,Internazionale,Monza,over_under,Over  2.5 Goals,,,,1.55,2026-08-21T03:25:48Z
eaglepredict,8545062,Serie A,2026-08-22,19:30,Udinese,Como,1x2,Como Win,,,,1.75,2026-08-21T03:25:48Z
eaglepredict,8545089,Serie A,2026-08-22,21:45,Genoa,Napoli,1x2,Napoli Win,,,,1.77,2026-08-21T03:25:48Z
eaglepredict,8547587,Eredivisie,2026-08-23,13:15,Go Ahead Eagles,ADO Den Haag,1x2,Go Ahead Eagles Win,,,,1.50,2026-08-21T03:25:48Z
eaglepredict,8547587,Eredivisie,2026-08-23,13:15,Go Ahead Eagles,ADO Den Haag,over_under,Over  2.5 Goals,,,,1.39,2026-08-21T03:25:48Z
eaglepredict,8547611,Eredivisie,2026-08-23,15:30,PSV,Groningen,1x2,PSV Win,,,,1.27,2026-08-21T03:25:48Z
eaglepredict,8547611,Eredivisie,2026-08-23,15:30,PSV,Groningen,over_under,Over  2.5 Goals,,,,1.21,2026-08-21T03:25:48Z
eaglepredict,8547616,Eredivisie,2026-08-23,17:45,Cambuur,Feyenoord,1x2,Feyenoord Win,,,,1.22,2026-08-21T03:25:48Z
eaglepredict,8547616,Eredivisie,2026-08-23,17:45,Cambuur,Feyenoord,over_under,Over  2.5 Goals,,,,1.31,2026-08-21T03:25:48Z
eaglepredict,8558091,Premier League,2026-08-23,16:00,Manchester City,Bournemouth,1x2,Manchester City Win,,,,1.41,2026-08-21T03:25:48Z
eaglepredict,8558091,Premier League,2026-08-23,16:00,Manchester City,Bournemouth,over_under,Over  2.5 Goals,,,,1.32,2026-08-21T03:25:48Z
eaglepredict,8557846,Premier League,2026-08-23,18:30,Newcastle,Liverpool,1x2,Liverpool Win,,,,1.84,2026-08-21T03:25:48Z
eaglepredict,8557846,Premier League,2026-08-23,18:30,Newcastle,Liverpool,over_under,Over  2.5 Goals,,,,1.36,2026-08-21T03:25:48Z
eaglepredict,8548652,Ligue 1,2026-08-23,16:00,Angers,Lille,1x2,Lille Win,,,,1.65,2026-08-21T03:25:48Z
eaglepredict,8548652,Ligue 1,2026-08-23,16:00,Angers,Lille,over_under,Over  2.5 Goals,,,,1.83,2026-08-21T03:25:48Z
eaglepredict,8548658,Ligue 1,2026-08-23,18:15,Le Havre,Monaco,1x2,Monaco Win,,,,1.81,2026-08-21T03:25:48Z
eaglepredict,8548658,Ligue 1,2026-08-23,18:15,Le Havre,Monaco,over_under,Over  2.5 Goals,,,,1.53,2026-08-21T03:25:48Z
eaglepredict,8548653,Ligue 1,2026-08-23,21:45,PSG,Rennes,1x2,PSG Win,,,,1.35,2026-08-21T03:25:48Z
eaglepredict,8548653,Ligue 1,2026-08-23,21:45,PSG,Rennes,over_under,Over  2.5 Goals,,,,1.32,2026-08-21T03:25:48Z
eaglepredict,8574380,Primeira Liga,2026-08-23,17:30,Vitória Guimarães,CD Nacional,1x2,Vitória Guimarães Win,,,,1.40,2026-08-21T03:25:48Z
eaglepredict,8574380,Primeira Liga,2026-08-23,17:30,Vitória Guimarães,CD Nacional,over_under,Over  2.5 Goals,,,,1.81,2026-08-21T03:25:48Z
eaglepredict,8574426,Primeira Liga,2026-08-23,22:30,Porto,FC Arouca,1x2,Porto Win,,,,1.15,2026-08-21T03:25:48Z
eaglepredict,8574426,Primeira Liga,2026-08-23,22:30,Porto,FC Arouca,over_under,Over  2.5 Goals,,,,1.55,2026-08-21T03:25:48Z
eaglepredict,8570545,La Liga,2026-08-23,18:00,Atlético Madrid,Villarreal,1x2,Atlético Madrid Win,,,,1.81,2026-08-21T03:25:48Z
eaglepredict,8570545,La Liga,2026-08-23,18:00,Atlético Madrid,Villarreal,over_under,Over  2.5 Goals,,,,1.77,2026-08-21T03:25:48Z
eaglepredict,8570481,La Liga,2026-08-23,22:30,Elche CF,Barcelona,1x2,Barcelona Win,,,,1.25,2026-08-21T03:25:48Z
eaglepredict,8570481,La Liga,2026-08-23,22:30,Elche CF,Barcelona,over_under,Over  2.5 Goals,,,,1.35,2026-08-21T03:25:48Z
eaglepredict,8545092,Serie A,2026-08-23,19:30,Frosinone,Juventus,1x2,Juventus Win,,,,1.40,2026-08-21T03:25:48Z
eaglepredict,8545092,Serie A,2026-08-23,19:30,Frosinone,Juventus,over_under,Over  2.5 Goals,,,,1.73,2026-08-21T03:25:48Z
eaglepredict,8545069,Serie A,2026-08-23,21:45,Atalanta,Sassuolo,1x2,Atalanta Win,,,,1.46,2026-08-21T03:25:48Z
eaglepredict,8545069,Serie A,2026-08-23,21:45,Atalanta,Sassuolo,over_under,Over  2.5 Goals,,,,1.62,2026-08-21T03:25:48Z
eaglepredict,8545090,Serie A,2026-08-23,21:45,Torino,Milan,1x2,Milan Win,,,,1.71,2026-08-21T03:25:48Z
eaglepredict,8545090,Serie A,2026-08-23,21:45,Torino,Milan,over_under,Over  2.5 Goals,,,,1.82,2026-08-21T03:25:48Z
eaglepredict,8557840,Premier League,2026-08-22,17:00,Everton,Crystal Palace,over_under,Over  2.5 Goals,,,,1.82,2026-08-21T03:25:48Z
eaglepredict,8558033,Premier League,2026-08-22,17:00,Nottingham Forest,Leeds United,over_under,Over  2.5 Goals,,,,1.75,2026-08-21T03:25:48Z
eaglepredict,8548654,Ligue 1,2026-08-22,21:45,Toulouse,Lyon,over_under,Over  2.5 Goals,,,,1.72,2026-08-21T03:25:48Z
eaglepredict,8548656,Ligue 1,2026-08-22,21:45,Nice,Lorient,over_under,Over  2.5 Goals,,,,1.74,2026-08-21T03:25:48Z
eaglepredict,8548570,Ligue 1,2026-08-22,21:45,Troyes,Paris,over_under,Over  2.5 Goals,,,,1.65,2026-08-21T03:25:48Z
eaglepredict,8548629,Ligue 1,2026-08-22,21:45,Le Mans,Brest,over_under,Over  2.5 Goals,,,,1.74,2026-08-21T03:25:48Z
eaglepredict,8557833,Premier League,2026-08-23,16:00,Brighton,Aston Villa,over_under,Over  2.5 Goals,,,,1.60,2026-08-21T03:25:48Z
