site,source_id,league,date,kickoff,home_team,away_team,market,pick,p1,p2,p3,note,scraped_at
whoscored,1995408,Bundesliga,2026-09-04,19:30,VfB Stuttgart,FC Koln,1x2,1,,,,1.44,2026-09-01T12:34:14Z
whoscored,1995408,Bundesliga,2026-09-04,19:30,VfB Stuttgart,FC Koln,over_under,Over,,,,1.34,2026-09-01T12:34:14Z
whoscored,1995408,Bundesliga,2026-09-04,19:30,VfB Stuttgart,FC Koln,btts,Yes,,,,,2026-09-01T12:34:14Z
whoscored,1995408,Bundesliga,2026-09-04,19:30,VfB Stuttgart,FC Koln,correct_score,2 - 1,,,,6.7,2026-09-01T12:34:14Z
