fixture_id,league,date,kickoff,home_id,away_id
2026-08-22|heerenveen|vs|pec-zwolle,Eredivisie,2026-08-22,22/08/2026 21:00,heerenveen,pec-zwolle
2026-08-23|go-ahead-eagles|vs|ado-den-haag,Eredivisie,2026-08-23,23/08/2026 12:15,go-ahead-eagles,ado-den-haag
2026-08-23|psv-eindhoven|vs|groningen,Eredivisie,2026-08-23,23/08/2026 14:30,psv-eindhoven,groningen
2026-08-23|cambuur|vs|feyenoord,Eredivisie,2026-08-23,23/08/2026 16:45,cambuur,feyenoord
2026-09-09|twente|vs|sc-telstar,Eredivisie,2026-09-09,09/09/2026 18:45,twente,sc-telstar
2026-09-15|ajax|vs|willem-ii-tilburg,Eredivisie,2026-09-15,15/09/2026 20:00,ajax,willem-ii-tilburg
2026-08-14|sc-telstar|vs|sparta-rotterdam,Eredivisie,2026-08-14,14/08/2026 20:00,sc-telstar,sparta-rotterdam
2026-08-15|willem-ii-tilburg|vs|nijmegen,Eredivisie,2026-08-15,15/08/2026 16:30,willem-ii-tilburg,nijmegen
2026-08-15|utrecht|vs|az-alkmaar,Eredivisie,2026-08-15,15/08/2026 18:45,utrecht,az-alkmaar
2026-08-15|excelsior|vs|psv-eindhoven,Eredivisie,2026-08-15,15/08/2026 20:00,excelsior,psv-eindhoven
2026-08-15|fortuna-sittard|vs|cambuur,Eredivisie,2026-08-15,15/08/2026 21:00,fortuna-sittard,cambuur
2026-08-16|ado-den-haag|vs|groningen,Eredivisie,2026-08-16,16/08/2026 12:15,ado-den-haag,groningen
2026-08-16|twente|vs|pec-zwolle,Eredivisie,2026-08-16,16/08/2026 14:30,twente,pec-zwolle
2026-08-16|feyenoord|vs|go-ahead-eagles,Eredivisie,2026-08-16,16/08/2026 14:30,feyenoord,go-ahead-eagles
2026-08-16|ajax|vs|heerenveen,Eredivisie,2026-08-16,16/08/2026 16:45,ajax,heerenveen
2026-08-22|mar-timo|vs|acad-mico-viseu,Liga Portugal,2026-08-22,22/08/2026 16:30,mar-timo,acad-mico-viseu
2026-08-22|gd-estoril|vs|rio-ave,Liga Portugal,2026-08-22,22/08/2026 19:00,gd-estoril,rio-ave
2026-08-22|sporting-cp|vs|fc-alverca,Liga Portugal,2026-08-22,22/08/2026 21:30,sporting-cp,fc-alverca
2026-08-23|moreirense-fc|vs|sl-benfica,Liga Portugal,2026-08-23,23/08/2026 02:00,moreirense-fc,sl-benfica
2026-08-23|estrela-amadora|vs|sporting-braga,Liga Portugal,2026-08-23,23/08/2026 02:00,estrela-amadora,sporting-braga
2026-08-23|vit-ria|vs|nacional-madeira,Liga Portugal,2026-08-23,23/08/2026 16:30,vit-ria,nacional-madeira
2026-08-23|santa-clara|vs|fc-famalic-o,Liga Portugal,2026-08-23,23/08/2026 19:00,santa-clara,fc-famalic-o
2026-08-23|porto|vs|fc-arouca,Liga Portugal,2026-08-23,23/08/2026 21:30,porto,fc-arouca
2026-08-24|gil-vicente|vs|casa-pia-ac,Liga Portugal,2026-08-24,24/08/2026 21:15,gil-vicente,casa-pia-ac
2026-08-14|sporting-cp|vs|vit-ria,Liga Portugal,2026-08-14,14/08/2026 21:15,sporting-cp,vit-ria
2026-08-15|fc-alverca|vs|estrela-amadora,Liga Portugal,2026-08-15,15/08/2026 16:30,fc-alverca,estrela-amadora
2026-08-15|acad-mico-viseu|vs|santa-clara,Liga Portugal,2026-08-15,15/08/2026 19:00,acad-mico-viseu,santa-clara
2026-08-15|rio-ave|vs|porto,Liga Portugal,2026-08-15,15/08/2026 21:30,rio-ave,porto
2026-08-16|nacional-madeira|vs|gd-estoril,Liga Portugal,2026-08-16,16/08/2026 16:30,nacional-madeira,gd-estoril
2026-08-16|fc-arouca|vs|moreirense-fc,Liga Portugal,2026-08-16,16/08/2026 19:00,fc-arouca,moreirense-fc
2026-08-16|fc-famalic-o|vs|mar-timo,Liga Portugal,2026-08-16,16/08/2026 21:30,fc-famalic-o,mar-timo
2026-08-16|sporting-braga|vs|gil-vicente,Liga Portugal,2026-08-16,16/08/2026,sporting-braga,gil-vicente
2026-08-17|casa-pia-ac|vs|sl-benfica,Liga Portugal,2026-08-17,17/08/2026 21:15,casa-pia-ac,sl-benfica
2026-08-25|valencia|vs|real-betis,La Liga,2026-08-25,25/08/2026 21:00,valencia,real-betis
